fid;FRT;PRF;NUM_ARBR;ESSENCE;DIAM1;DATE1;DIAM2;DATE2;ess;dia2;dia1;num;mart;quali;dmh;prix_quali;volu
1;APREMONT;11;1;S.P;20.000000000000000;01/04/2003;19.894367890000002;21/02/2007;S.P;20;15;1;;C;5;20;0.219851022857143
2;APREMONT;11;2;S.P;18.000000000000000;01/04/2003;18.143663510000000;21/02/2007;S.P;18;13;2;;B;3;60;0.165215643377143
3;APREMONT;11;3;EPC;30.000000000000000;01/04/2003;29.125354590000001;21/02/2007;EPC;29;25;3;SAN;;3;0;0.605375420522143
4;APREMONT;11;4;EPC;37.000000000000000;01/04/2003;38.833806109999998;21/02/2007;EPC;39;32;4;;C;7;20;1.29434759157214
5;APREMONT;11;5;HET;19.000000000000000;01/04/2003;19.735212940000000;21/02/2007;HET;20;14;5;;C;1;20;0.219851022857143
6;APREMONT;11;6;HET;27.000000000000000;01/04/2003;27.374650209999999;21/02/2007;HET;27;22;6;;B;7;60;0.500187412112143
7;APREMONT;11;7;S.P;31.000000000000000;01/04/2003;31.671833679999999;21/02/2007;S.P;32;26;7;;;5;0;0.783732043337143
8;APREMONT;11;8;S.P;38.000000000000000;01/04/2003;37.878876460000001;21/02/2007;S.P;38;33;8;;;8;0;1.21340738206286
9;APREMONT;11;9;EPC;11.000000000000000;01/04/2003;11.140846020000000;21/02/2007;EPC;11;6;9;;;8;0;0.0649820793921429
10;APREMONT;11;10;HET;17.000000000000000;01/04/2003;18.939438230000000;21/02/2007;HET;19;12;10;;B;0;60;0.191103945615
11;APREMONT;11;11;HET;14.000000000000000;01/04/2003;14.801409710000000;21/02/2007;HET;15;9;11;;C;7;20;0.104815154732143
12;APREMONT;11;12;HET;20.000000000000000;01/04/2003;21.167607430000000;21/02/2007;HET;21;15;12;;B;0;60;0.251445698299286
13;APREMONT;11;13;EPC;15.000000000000000;01/04/2003;16.392959139999999;21/02/2007;EPC;16;10;13;;;0;0;0.122060071131429
14;APREMONT;11;14;HET;34.000000000000000;01/04/2003;35.014087480000001;21/02/2007;HET;35;29;14;SAN;A;0;100;0.986509955089286
15;APREMONT;11;15;HET;10.000000000000000;01/04/2003;10.345071300000001;21/02/2007;HET;10;5;15;;B;2;60;0.0623663421428572
16;APREMONT;11;16;S.P;61.000000000000000;01/04/2003;59.364793769999999;21/02/2007;S.P;59;56;16;;C;1;20;3.45168680495786
17;APREMONT;11;17;S.P;18.000000000000000;01/04/2003;19.257748110000001;21/02/2007;S.P;19;13;17;;B;3;60;0.191103945615
18;APREMONT;11;18;S.P;19.000000000000000;01/04/2003;19.576058000000000;21/02/2007;S.P;20;14;18;;B;5;60;0.219851022857143
19;APREMONT;11;19;HET;17.000000000000000;01/04/2003;17.984508569999999;21/02/2007;HET;18;12;19;;B;4;60;0.165215643377143
20;APREMONT;11;20;S.P;13.000000000000000;01/04/2003;13.369015220000000;21/02/2007;S.P;13;8;20;;;3;0;0.0790469454021429
21;APREMONT;11;21;EPC;15.000000000000000;01/04/2003;15.915494310000000;21/02/2007;EPC;16;10;21;;A;8;100;0.122060071131429
22;APREMONT;11;22;HET;19.000000000000000;01/04/2003;19.576058000000000;21/02/2007;HET;20;14;22;;A;3;100;0.219851022857143
23;APREMONT;11;23;HET;14.000000000000000;01/04/2003;14.960564650000000;21/02/2007;HET;15;9;23;;B;10;60;0.104815154732143
24;APREMONT;11;24;HET;14.000000000000000;01/04/2003;14.323944880000001;21/02/2007;HET;14;9;24;;;2;0;0.0904737205542858
25;APREMONT;11;25;HET;22.000000000000000;01/04/2003;22.600001920000000;21/02/2007;HET;23;17;25;;C;4;20;0.323133136566429
26;APREMONT;11;26;S.P;15.000000000000000;01/04/2003;16.711269020000000;21/02/2007;S.P;17;10;26;;C;9;20;0.142197292947857
27;APREMONT;11;27;HET;28.000000000000000;01/04/2003;28.807044699999999;21/02/2007;HET;29;23;27;SAN;C;9;20;0.605375420522143
28;APREMONT;11;28;S.P;44.000000000000000;01/04/2003;45.836623609999997;21/02/2007;S.P;46;39;28;;A;9;100;1.93408984681714
